SPEED,MAF,ENGINE_RPM,THROTTLE_POS,INTAKE_MANIFOLD_PRESSURE,ENGINE_LOAD,FUEL_RATE,FUEL_CONSUMPTION
38.0,23.75,1377.0,38.0,84.0,100.0,7.093081134892982,18.66600298656048
76.0,24.83,2383.0,34.5,20.0,74.1,7.415629666500748,9.757407455922037
85.0,2.25,1946.0,18.0,30.0,24.7,0.6719761075161772,0.7905601264896203
64.0,20.31,2334.0,25.0,30.0,70.2,6.065704330512694,9.477663016426083
104.0,23.95,2555.0,26.0,30.0,71.4,7.152812344449976,6.877704177355747
18.0,9.13,812.0,16.0,30.0,26.3,2.7267297162767545,15.148498423759747
48.0,9.13,1563.0,31.0,72.0,39.2,2.7267297162767545,5.680686908909905
45.0,3.86,1500.0,21.2,69.0,17.6,1.1528123444499752,2.561805209888833
105.0,22.82,2718.0,27.0,30.0,62.7,6.815331010452962,6.49079143852663
73.0,13.08,2354.0,30.6,36.0,36.9,3.906421105027377,5.351261787708736
22.0,3.52,1282.0,23.0,37.0,19.6,1.051269288203086,4.778496764559482
86.0,27.85,2024.0,36.0,30.0,96.5,8.31757093081135,9.671594105594592
22.0,2.54,1146.0,18.0,30.0,26.7,0.7585863613738179,3.4481198244264446
9.0,2.42,796.0,18.0,30.0,43.5,0.7227476356396217,8.030529284884686
50.0,22.37,1701.0,34.5,84.0,90.6,6.680935788949727,13.361871577899452
29.0,10.72,1287.0,29.4,52.0,61.6,3.201592832254853,11.039975283637425
19.0,8.95,1571.0,21.0,30.0,48.2,2.6729716276754605,14.068271724607689
34.0,10.42,1566.0,22.0,30.0,60.0,3.111996017919363,9.152929464468714
45.0,9.12,2359.0,27.8,19.0,25.9,2.723743155798905,6.052762568442011
39.0,20.82,1989.0,26.0,30.0,70.2,6.218018914883027,15.943638243289811
56.0,7.0,1966.0,23.5,48.0,30.6,2.0905923344947737,3.733200597312096
111.0,5.71,2603.0,19.0,30.0,25.9,1.705326032852165,1.536329759326275
16.0,10.28,1540.0,22.0,30.0,58.0,3.070184171229468,19.18865107018417
42.0,2.79,1120.0,18.0,30.0,31.0,0.8332503733200598,1.9839294602858568
24.0,2.65,989.0,20.4,33.0,23.1,0.7914385266301642,3.297660527625684
36.0,3.59,1150.0,21.0,30.0,34.5,1.072175211548034,2.9782644765223165
